Time,StepCount,cgShipMotion.ned.north [57 real output],cgShipMotion.ned.east [58 real output],cgShipMotion.ned.down [59 real output],cgShipMotion.angularDisplacement.yaw [73 real output],cgShipMotion.angularDisplacement.pitch [70 real output],cgShipMotion.angularDisplacement.roll [67 real output]
931.45,18629,50.8489,83.2409,-1.0273,48.8263,0.0465179,0.5655
931.55,18631,51.0154,83.4939,-1.02731,48.7942,0.0464,0.558478
931.65,18633,51.1829,83.747,-1.02731,48.7642,0.0463087,0.55299
931.75,18635,51.3513,84.0004,-1.0273,48.7365,0.0462417,0.549026
931.85,18637,51.5206,84.2539,-1.02728,48.7109,0.046196,0.54656
931.95,18639,51.6908,84.5077,-1.02726,48.6874,0.0461691,0.54555
932.05,18641,51.8618,84.7617,-1.02722,48.6661,0.046158,0.545938
932.15,18643,52.0338,85.0159,-1.02717,48.6468,0.0461599,0.547648
932.25,18645,52.2066,85.2703,-1.02711,48.6296,0.0461719,0.55059
932.35,18647,52.3803,85.5249,-1.02705,48.6144,0.0461913,0.554665
932.45,18649,52.5548,85.7798,-1.02698,48.6012,0.0462153,0.559758
932.55,18651,52.7301,86.0349,-1.02691,48.59,0.0462414,0.56575
932.65,18653,52.9063,86.2902,-1.02684,48.5807,0.0462672,0.572502
932.75,18655,53.0833,86.5458,-1.02676,48.5733,0.0462905,0.579877
932.85,18657,53.2611,86.8016,-1.02668,48.5677,0.0463092,0.587728
932.95,18659,53.4397,87.0577,-1.0266,48.564,0.0463216,0.595903
933.05,18661,53.6191,87.314,-1.02651,48.5622,0.046326,0.604256
933.15,18663,53.7993,87.5705,-1.02644,48.5621,0.0463213,0.612623
933.25,18665,53.9803,87.8274,-1.02636,48.5638,0.0463062,0.620852
933.35,18667,54.162,88.0844,-1.02629,48.5672,0.0462801,0.628775
933.45,18669,54.3444,88.3418,-1.02622,48.5724,0.0462425,0.636214
933.55,18671,54.5277,88.5994,-1.02615,48.5793,0.0461932,0.643001
933.65,18673,54.7116,88.8574,-1.02609,48.5878,0.0461325,0.648965
933.75,18675,54.8962,89.1156,-1.02604,48.5979,0.0460605,0.65395
933.85,18677,55.0816,89.3741,-1.02599,48.6096,0.045978,0.657812
933.95,18679,55.2677,89.6328,-1.02596,48.6228,0.0458856,0.660423
934.05,18681,55.4544,89.8919,-1.02592,48.6376,0.045784,0.661679
934.15,18683,55.6419,90.1513,-1.0259,48.6538,0.0456742,0.661485
934.25,18685,55.83,90.411,-1.02588,48.6715,0.0455572,0.659761
934.35,18687,56.0187,90.6711,-1.02587,48.6906,0.0454342,0.656452
934.45,18689,56.2081,90.9314,-1.02587,48.7112,0.0453063,0.651518
934.55,18691,56.3982,91.1921,-1.02588,48.7331,0.0451748,0.644935
934.65,18693,56.5889,91.453,-1.02589,48.7565,0.0450409,0.636701
934.75,18695,56.7802,91.7144,-1.02592,48.7812,0.0449057,0.626837
934.85,18697,56.9721,91.976,-1.02594,48.8072,0.0447705,0.615371
934.95,18699,57.1646,92.238,-1.02598,48.8346,0.0446364,0.602356
935.05,18701,57.3577,92.5003,-1.02602,48.8632,0.0445045,0.587854
935.15,18703,57.5515,92.763,-1.02606,48.8932,0.044376,0.571946
935.25,18705,57.7457,93.026,-1.02611,48.9244,0.0442516,0.55473
935.35,18707,57.9406,93.2894,-1.02616,48.9568,0.0441322,0.536314
935.45,18709,58.136,93.5532,-1.02622,48.9904,0.0440186,0.516816
935.55,18711,58.332,93.8173,-1.02628,49.0252,0.0439113,0.496364
935.65,18713,58.5285,94.0817,-1.02634,49.0612,0.0438109,0.4751
935.75,18715,58.7255,94.3466,-1.0264,49.0982,0.0437176,0.453169
935.85,18717,58.9231,94.6118,-1.02646,49.1364,0.0436317,0.430721
935.95,18719,59.1211,94.8774,-1.02652,49.1756,0.0435532,0.407908
936.05,18721,59.3197,95.1434,-1.02657,49.2158,0.043482,0.384893
936.15,18723,59.5188,95.4097,-1.02663,49.2571,0.0434179,0.361827
936.25,18725,59.7183,95.6765,-1.02668,49.2993,0.0433605,0.338876
936.35,18727,59.9184,95.9436,-1.02673,49.3425,0.0433093,0.31619
936.45,18729,60.1189,96.2112,-1.02677,49.3867,0.0432637,0.293921
